Nombre,Tipo,Estacion,Eficiencia_energetica,Capacidad_frenado_suelo_mojado,Ruido_ambiental_dB,Ruido_ambiental_ondas,Ancho,Perfil,Estructura,Diametro_Interior,Índice de Carga,Índice de Velocidad
Pilot Sport Cup 2,Sport Altas Prestaciones,Verano,C,D,72,2,245,35,ZR,20,95,Y
Pilot Sport Cup 2,Sport Altas Prestaciones,Verano,C,D,72,2,255,40,ZR,20,101,Y
Pilot Sport Cup 2,Sport Altas Prestaciones,Verano,C,D,72,2,345,30,ZR,19,109,Y
Pilot Sport Cup 2,Sport Altas Prestaciones,Verano,C,D,72,2,325,30,ZR,19,105,Y
Pilot Sport Cup 2,Sport Altas Prestaciones,Verano,C,D,72,2,305,30,ZR,19,102,Y
Pilot Sport Cup 2,Sport Altas Prestaciones,Verano,C,D,72,2,295,30,ZR,19,100,Y
Pilot Sport Cup 2,Sport Altas Prestaciones,Verano,C,D,72,2,265,30,ZR,19,93,Y
Pilot Sport Cup 2,Sport Altas Prestaciones,Verano,C,D,72,2,285,35,ZR,19,103,Y
Pilot Sport Cup 2,Sport Altas Prestaciones,Verano,C,D,72,2,275,35,ZR,19,100,Y
Pilot Sport Cup 2,Sport Altas Prestaciones,Verano,C,D,72,2,265,35,ZR,19,98,Y
Pilot Sport Cup 2,Sport Altas Prestaciones,Verano,C,D,72,2,255,35,ZR,19,96,Y
Pilot Sport Cup 2,Sport Altas Prestaciones,Verano,C,D,72,2,245,35,ZR,19,93,Y
Pilot Sport Cup 2,Sport Altas Prestaciones,Verano,C,D,72,2,235,35,ZR,19,91,Y
Pilot Sport Cup 2,Sport Altas Prestaciones,Verano,C,D,72,2,265,40,ZR,19,102,Y
Pilot Sport Cup 2,Sport Altas Prestaciones,Verano,C,D,72,2,235,40,ZR,19,96,Y
Pilot Sport Cup 2,Sport Altas Prestaciones,Verano,C,D,72,2,295,30,ZR,18,98,Y
Pilot Sport Cup 2,Sport Altas Prestaciones,Verano,C,D,72,2,285,30,ZR,18,97,Y
Pilot Sport Cup 2,Sport Altas Prestaciones,Verano,C,D,72,2,265,35,ZR,18,97,Y
Pilot Sport Cup 2,Sport Altas Prestaciones,Verano,C,D,72,2,245,35,ZR,18,92,Y
Pilot Sport Cup 2,Sport Altas Prestaciones,Verano,C,D,72,2,245,40,ZR,18,97,Y
Pilot Sport Cup 2,Sport Altas Prestaciones,Verano,C,D,72,2,235,40,ZR,18,95,Y
Pilot Sport Cup 2,Sport Altas Prestaciones,Verano,C,D,72,2,225,40,ZR,18,92,Y
Pilot Sport Cup 2,Sport Altas Prestaciones,Verano,C,D,72,2,255,40,ZR,17,98,Y
Pilot Sport Cup 2,Sport Altas Prestaciones,Verano,C,D,72,2,225,45,ZR,17,94,Y
Pilot Sport Cup 2,Sport Altas Prestaciones,Verano,C,D,72,2,215,45,ZR,17,91,Y
Latitude Cross,"SUV Compacto, SUV Medio, SUV Grande",Verano,C,C,72,2,235,50,R,18,97,H
Latitude Cross,"SUV Compacto, SUV Medio, SUV Grande",Verano,C,C,72,2,255,55,R,18,109,V
